name,free_returns,items_sold,status=,shipping,price_sold
Tottenham Hotspur FC Soccer Decal Sticker Set,False,,Brand New,375,1249
TOTTENHAM HOTSPUR FC Football Club Huge 3'x5' Official EPL Soccer DELUXE FLAG,False,,Brand New,695,3799
Tottenham Hotspur Soccer Jersey Mens Large 42/44 Pony Hewlett Packard,True,,Pre-Owned,895,8999
Tottenham Hotspur 2013/2014 Home Sz M Under Armour football shirt jersey soccer,False,,Pre-Owned,999,2245
Nike Tottenham Hotspur AIA Soccer Team  Authentic Jersey NWT Youth Unisex SizeXL,False,,Brand New,550,5999
Tottenham Hotspur Eriksen #23 Football Shirt Soccer Jersey Nike 2018 Boys size L,False,,Pre-Owned,999,2559
NWT Tottenham Hotspur 2008/09 Home Soccer Jersey 2XL Puma EPL Camiseta Spurs ,False,,Pre-Owned,0,10995
Under Armour EPL Tottenham Hotspur FC Men’s Medium Polo,False,,Pre-Owned,500,3000
TOTTENHAM HOTSPUR FOOTBALL SHIRT 2010-2011 JERSEY PUMA,True,,Pre-Owned,2000,1999
Tottenham Hotspur FC - Vertigo Crest Scarf,True,,Brand New,0,2488
Puma Tottenham Hotspur 2006-2007 Home Football Soccer Jersey Shirt - Men's 2XL,True,,Pre-Owned,615,2999
TOTTENHAM HOTSPUR SHIRT JERSEY HOME 2014-2015 #11 LAMELA SIZE KIDS YOUTH LARGE,False,,Pre-Owned,999,1499
Nike Tottenham Hotspur 2020/21 Stadium Home Men's Small S Soccer CD4256-101 NWT,False,,Brand New,0,7499
Tottenham Hotspur 2008/2009 Away Size S Puma Spurs shirt jersey soccer football,False,,Pre-Owned,999,2695
Men's Tottenham Hotspur Regular Under Armour White Navy Track Zip Football SZ S,False,,Pre-Owned,1799,3498
Tottenham Hotspur Full Zip Hoodie Medium Fits As Small,False,,Pre-Owned,815,2499
Nike SoccerJersey Tottenham Hotspurs 20/21 Stadium Away Sz L CD4415-398 Women’s,False,,Brand New,0,5990
New ListingTOTTENHAM HOTSPUR FOOTBALL SOCCER JACKET COAT PUMA BLUE ,True,,Pre-Owned,2100,2500
Tottenham Hotspur White Script Block Pattern T-shirt,False,,Brand New,0,2799
FA Cup Winner's 1981 English Football EPL Tottenham Hotspurs Banner/Badge Signed,False,,Pre-Owned,799,1280
Under Armor Tottenham Hotspur Premier League Soccer/fútbol Jersey Size M Womens,False,,Brand New,1065,4999
TOTTENHAM HOTSPUR TRAINING FOOTBALL SHIRT SOCCER JERSEY NIKE sz M MEN BLUE,False,,Pre-Owned,999,2499
Tottenham Hotspur Socks 6-11 - Authentic EPL,True,,Brand New,0,1188
Nike Soccer 1/2 Zip Track Jacket Tottenham Hotspur FC Spurs Mens Sz L CK8487-429,False,,Brand New,0,6398
NEW Nike Tottenham Hotspur Away Soccer Jersey 2019/20 Blue Men’s Small,False,,Brand New,510,7000
New Era Tottenham Hotspur Hat Size 8,False,,Pre-Owned,515,1000
New 2020/21 Nike Tottenham Hotspur Stadium Air Max Special Edition Medium *read,True,,Brand New,499,9499
Tottenham Hotspur 2015 2016 Football Shirt Soccer Jersey Polo Top Mens size XL,False,,Pre-Owned,1497,3519
