name,free_returns,items_sold,status=,shipping,price_sold
HEAD TITANIUM TENNIS Ti.S5 TENNIS RACKET ,False,,Pre-Owned,1200,3000
New ListingVintage Spalding Pancho Gonzales Wood Tennis Racket / Racquet 4 5/8,False,,Pre-Owned,1225,2995
"Wilson Ultra Power XL 112 Tennis Racket, Grip Size 3, Blue - FREE SHIPPING",False,,Brand New,0,1695
"New ListingPince Tour Pro 98,  4-3/8 grip size,  racquet Very Nice  Lightly Used 9/10 Shape",False,,Pre-Owned,1595,7800
Wilson Tennis Racquet Cover Black and White Excellent Condition! 28 1/2 Inches,True,,Brand New,999,999
New ListingPro Kennex Tennis racket widebody,False,,Pre-Owned,1800,2500
New Listing(2) Wilson Pro Staff 6.0 85 tennis rackets SAMPRAS 4 3/8 & 4 1/2,False,,Pre-Owned,0,35000
Vintage Wilson T2000 Tennis Racquet,False,,Pre-Owned,1200,2000
Davis Imperial Tennis Racket ,False,,Pre-Owned,1465,1310
Wilson Kobra Tour K Factor 4 3/8 Grip Racquet Rare,False,,Pre-Owned,880,6500
Vintage YAMAHA SECRET 04 TENNIS RACQUET 4 1/2,False,,Pre-Owned,795,5304
,False,,,0,
New ListingPrince Tour Diablo 25 Midplus Junior Tennis Racquet 4” Grip,False,,Pre-Owned,0,4599
Wilson Triad Hammer 4.0 Midplus 100 head 4 3/8 Tennis Racquet,False,,Pre-Owned,0,3900
"Wilson T2000 STEEL VINTAGE TENNIS RACKET 26 3/4"" LENGTH 4-1/2"" GRIP COVER ",False,,Pre-Owned,1595,6000
Prince O3 Silver Tennis Racquet 118” Speedzone 4 1/2” Grip New,True,,Brand New,0,11875
"New ListingBabolat Pure Storm GT Technology Tennis Racquet 98 Sq. In. W 10.4oz 4 1/8"" Grip",False,,Pre-Owned,0,7995
Set Of 2 WILSON PRO STAFF 4.0 Hammer System 95 sq in 4 1/2” Grip Tennis Racquet,False,,Pre-Owned,0,4800
Vintage Wilson Sting Midsize Graphite Tennis Racquet Racket Size 4 1/2 inches,False,,Pre-Owned,1720,2695
Vintage Wiison Wooden Tennis Racket Stan Smith Capri 4 5/8 Leather Grip,False,,Pre-Owned,1795,1490
Wilson Sting 2 Graphite Tennis racket￼! Perfect Condition!!,False,,Pre-Owned,1465,2290
New Listing2 PROKENNEX Power Presence 110 Racket with Covers,False,,Pre-Owned,2200,6800
Prince Graphite Pro Tennis Racket Racquet With Cover Black,False,,Pre-Owned,930,2995
Prince Phantom X Series Tennis Racquet 4 3/8 Grip,False,,Brand New,0,17900
New ListingBARELY USED!!! Yonex Ezone Ace Tennis Racquet 4-3/8,False,,Pre-Owned,0,6800
2015 Wilson Blade 98 Tennis Racket 4 1/4 Grip Braided Graphite+Basalt 304g 16x19,True,,Pre-Owned,999,9479
HEAD Intelligence i.Prestige MP Midplus Tennis Racket / Racquet 4 1/2 Grip Size,True,,Pre-Owned,1700,7800
Wilson Odyssey Comp Mid Size Tennis Racquet Racket  4 1/4 USA ,False,,Pre-Owned,1100,2450
x3 Wilson Pro Staff 6.7 Head Ti S5 Prince air deuce 26 x3 tennis racquet x3 !!!!,False,,Pre-Owned,2115,5900
Volkl Catapult 4 Tennis Racket Racquet Grip Size 4-3/8,False,,Pre-Owned,1595,5000
Yamaha Secret Ex Resonance Mid-plus Carbon Graphite Tennis Racquet 4 1/2,False,,Pre-Owned,1399,3995
New Listingwilson federer tennis racket,False,,Pre-Owned,2000,1550
New Listingvintage spalding tennis racket,False,,Pre-Owned,1035,1000
head tennis racquet,False,,Pre-Owned,1795,3200
Davega Driver wood tennis racket racquet ,False,,Pre-Owned,1425,999
ESTUSA BORIS BECKER ADVANTECH MID TENNIS RACQUET (4 3/8) LONG TERM STORAGE,False,,Pre-Owned,0,13995
New ListingVintage Donnay GLM3 Tennis Racket,False,,Pre-Owned,880,1000
ESTUSA BORIS BECKER PROVANTECH PB MID TENNIS RACQUET (4 3/8) LONG TERM STORAGE,False,,Pre-Owned,0,15995
New ListingPrince magnesium pro series 100 Racket 1984 Vintage Tennis w/case 4 1/2 #4,False,,Pre-Owned,1795,3500
"New ListingBABOLAT DRIVE MAX 110 TENNIS RACQUET, EXCELLENT COND., 4 3/8 GRIP ",False,,Pre-Owned,1999,4999
Rare MacGregor Bergelin LongString Tennis Racquet,True,,Pre-Owned,0,10000
Vintage Wilson T3000 Tennis Racquet W/ Cover Tubular Steel Grip Made In USA ,False,,Pre-Owned,1135,1999
Wilson Hammer 25 Tennis Racquet Cover,False,,Pre-Owned,699,99
Bancroft Teardrop Design Tennis Racket Ralph Sawyer Medium 4 1/4 grip vintage,False,,Pre-Owned,1580,1260
"New ListingPrince Force 3 Tazer Ti Oversize Tennis Racquet - 7” Grip, Graphite/Titanium",False,,Pre-Owned,1270,3000
Pancho Gonzales vintage Spalding wooden tennis racket,False,,Pre-Owned,0,2359
Lot of 3 Tennis Rackets,False,,Pre-Owned,2435,3500
"New ListingBabolat Pure Drive 110 Tennis Racquet, 4 3/8 Grip, free ship",False,,New (Other),0,18500
"New ListingWilson Clash 26"" - Junior Tennis Racquet",False,,New (Other),1833,4999
New ListingWilson Ultra 108- 2 rackets.,False,,Pre-Owned,1115,22500
🌟Wilson🌟Ultra Power XL🌟112 Tennis Racket🌟（🇺🇸 Stock!) ,False,,Brand New,2115,2400
Rare 1970 Vintage Chris Evert Tennis Racquet ,False,,Pre-Owned,1270,1000
Jack Kramer Autograph tennis racket - great historical item,False,,Pre-Owned,2115,1740
 WILSON HYPER HAMMER 2.8 OS 125 TENNIS RACQUET  4 1/2,False,,Pre-Owned,0,6999
Wilson Hope Strung Tennis Racket,True,,Pre-Owned,955,999
Head Ti.S1 Pro Oversize Titanium Tennis Racquet see pictures,False,,Pre-Owned,0,3600
Wilson Pro Staff Jr Junior Tennis Racket 110 Sq In w/ Case Classic Beam Racquet,False,,Pre-Owned,880,3998
Wilson Tennis Racket lot set New see description,False,,Brand New,0,8000
Babolat Rival Tennis Racket Racquet Neon Green,True,,Pre-Owned,1465,3999
"LIBT Beach Tennis Racquet. 3k Carbon frame, weight 330-340g.",False,,Brand New,1595,8500
New ListingWilson Pro Staff RF97 V12 4 3/8 grip tennis racquet frame unstrung,False,,Pre-Owned,1810,12500
New ListingHead YouTek IG Extreme MP Tennis Racquet Grip Size 4 3/8”,True,,Brand New,0,10900
Head Tennis Racquet,False,,Pre-Owned,1425,2000
"Wilson Sting Tennis Racquet ""Largehead"" 4 1/2 Grip Excellent Condition",False,,New (Other),0,11000
"Prince CTS Thunderstick Oversize 110 OS 4-1/4"" No 2 Tennis Racquet Racket",False,,Pre-Owned,1270,4499
Wilson Profile 2.7 SI Hammer System Graphite 110 Grip 4 3/8 Tennis Racquet ,False,,Pre-Owned,1500,3999
Wilson Performance Racket Cover,False,,Brand New,0,3314
New ListingSerena Williams Wilson V-Matrix Tennis Racket,True,,Pre-Owned,1065,10000
VINTAGE Wilson T2000 Tennis Racquet with Original Cover USED,False,,Pre-Owned,1200,2400
Wilson “Hope” Purple Breast Cancer Awareness Tennis Racket 4 1/8 ,False,,Brand New,0,2999
New ListingHead Flexpoint 6 Tennis Racquet 4 3/8 Grip Great Condition,False,,Pre-Owned,1595,5000
Yonex R-27 Iso-Metric Rexking Tennis Racquet 4 1/2 Good,False,,Pre-Owned,795,1402
New Listingwilson advantage tennis racket,False,,Pre-Owned,0,6000
New ListingHead YouTek IG Extreme S Tennis Racquet Grip Size 4 3/8”,True,,Brand New,0,10900
New ListingLotto Professional Mid 29 Tennis Racket,False,,Pre-Owned,1595,999
Tad Davis Victor Imperial Wood Tennis Racket Leather Grip 6M Orig. Cover,False,,New (Other),0,4795
Wilson Pro Staff Graphite W/ Kevlar 4 1/2 PWS Largehead Racquet W/ Case NICE,False,,Pre-Owned,1270,8000
Prince  O3 SPEED PORT SILVER    Tennis Racket 4 3/8  W CASE ,False,,Pre-Owned,910,4000
